MM/DD/YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/8/2024 10:26:15,25.84,45.39,1.16.3,FR1,20,4.19,NaN,1,Right,Left,39,41,35,0,NaN,NaN,0.00
8/8/2024 10:26:21,25.85,45.45,1.16.3,FR1,20,4.19,NaN,1,Right,Left,39,42,35,0,NaN,NaN,0.00
8/8/2024 10:26:22,25.84,45.45,1.16.3,FR1,20,4.20,NaN,1,Right,Left,39,43,35,0,NaN,NaN,0.00
8/8/2024 10:26:23,25.85,45.44,1.16.3,FR1,20,4.19,NaN,1,Right,Left,39,44,35,0,NaN,NaN,0.00
8/8/2024 10:26:39,25.82,45.37,1.16.3,FR1,20,4.20,NaN,1,Right,Left,39,45,35,0,NaN,NaN,0.09
8/8/2024 10:26:41,25.83,45.38,1.16.3,FR1,20,4.20,NaN,1,Right,Left,39,46,35,0,NaN,NaN,0.00
8/8/2024 10:26:43,25.82,45.36,1.16.3,FR1,20,4.19,NaN,1,Left,Left,40,46,35,0,NaN,NaN,0.00
8/8/2024 10:26:48,25.82,45.37,1.16.3,FR1,20,4.19,3,1,Pellet,Left,40,46,36,0,0.06,909,NaN
8/8/2024 10:31:15,25.96,45.24,1.16.3,FR1,20,4.19,NaN,1,Right,Left,40,47,36,0,NaN,NaN,0.02
8/8/2024 10:31:23,25.98,45.25,1.16.3,FR1,20,4.19,NaN,1,Right,Left,40,48,36,0,NaN,NaN,0.00
8/8/2024 10:31:24,25.98,45.26,1.16.3,FR1,20,4.20,NaN,1,Right,Left,40,49,36,0,NaN,NaN,0.13
8/8/2024 10:31:24,25.97,45.23,1.16.3,FR1,20,4.19,NaN,1,Right,Left,40,50,36,0,NaN,NaN,0.00
